"","id_aloja","entidad","mun","loc","ageb","mza","longitud","latitud","estatus","motivo_sr","clasealoja","v_tip_vial","v_nom_vial","v_num_ext","v_num_int","v_tip_asen","v_nom_asen","v_cp","letrero_ex","nom_aloja","razon_soc","fig_juri","tel_aloja","ext_tel","mail_aloja","alimentos","vestido","s_medico","medicamnto","s_educ","talleres","ter_fisica","act_recrea","apoyo_jur","salud_sex","terapia_gp","apoyo_psc","religion","transporte","colectas","cuotas","empresanac","donaciones","agrupa_rel","elab_prod","gobierno","org_inter","fidecomiso","inicio_act","cluni","reglamento","expediente","rep_legal","tenencia","paredes","techos","pisos","dormitorio","camas","cunas","cisterna","tinaco","boiler","rampa_sr","salida_em","señales_em","alarma_em","botiquin","extintor","vigilancia","cocina","comedor","oficina","salones","sala_convi","cons_med","inst_rehab","bodega","jardines","cancha","inst_lavar","tazas_bano","tazas_adap","mingitorio","letrinas","regaderas","rega_adap","capacidad","t_volunta","tm_volunta","th_volunta","t_trabaja","t_residen","lon","lat"
"1",911546,"09","012","0001","0318","023","-99°13'39.12""","19°17'53.49""","1",NA,"5","05","TECAX","19",NA,"07","LOMAS DE PADIERNA","14240","2","MATER FILIUS AC","MATER FILIUS AC","1","5556457107",NA,"ASISTENTEDIRECCION@MATERFILIUS.ORG.MX","1",1,1,1,"1",1,2,2,"1",1,1,1,"1",2,"2","2","1","1","2","2","2","2","2","2003","1","1","1","1","2","5","4","3","4","14","10","1","1","1","1","2","2","2","1","1","2","1","1","1","1","1","2","2","1","1","2","1","6","0","0",NA,"4","0","10","120","70","50",5,9,-99.2192,19.2843
"2",911568,"09","008","0001","0353","032","-99°14'16.54""","19°18'14.45""","1",NA,"5","08","TINACO","5",NA,"07","SAN NICOLAS TOTOLAPAN","10900","2","CASA DE ALTO RENDIMIENTO","AYUDA Y SOLIDARIDAD CON LAS NIÑAS DE LA CALLE IAP","2","5518294678",NA,"AGUEDA@ICLOUD.COM","2",2,2,2,"2",2,2,2,"2",2,2,2,"2",2,"2","2","1","2","2","2","2","2","2","2007","2","1","2","2","1","5","4","3","10","10","0","2","1","1","2","1","2","2","1","2","2","1","1","2","2","1","2","2","2","1","2","1","3","0","0",NA,"5","0","10","0",NA,NA,1,3,-99.23515,19.30124
"3",911641,"09","010","0001","0031","002","-99°12'28.43""","19°23'57.02""","1",NA,"5","05","BONDOJITO","295",NA,"07","HIDALGO","01120","2","CASA SANTA CLARA","CASA SANTA CLARA","1","55156816",NA,"SCLARA@LIVE.COM.MX","1",1,1,1,"1",2,2,1,"2",1,1,1,"1",1,"2","2","1","1","1","2","2","2","2","2001","1","1","1","1","3","5","4","3","3","10","0","1","1","1","2","2","1","2","1","1","2","1","1","1","1","1","1","2","1","1","2","1","3","0","0",NA,"3","0","12","1","999","999",9,10,-99.2023416666667,19.38528
"4",921719,"09","004","0001","0091","006","-99°18'07.76""","19°21'11.70""","1",NA,"5","18","PUEBLA","77",NA,"07","CUAJIMALPA","05000","1","FUNDACIÓN DAR Y AMAR DAYA","FUNDACIÓN DAR Y AMAR DAYA IAP","2","58124934",NA,"CASADAYA@PRODIGY.NET.MX","1",1,1,1,"1",1,1,1,"1",1,1,1,"1",1,"2","2","1","1","2","2","2","2","2","1997","1","1","1","1","1","5","4","3","3","24","0","1","1","1","2","2","1","1","1","1","2","1","1","1","1","1","2","2","1","1","1","1","6","0","0",NA,"4","0","24","15","13","2",11,23,-99.3021555555556,19.35047
"5",921887,"09","012","0001","0407","007","-99°09'48.50""","19°17'38.38""","1",NA,"5","05","RENATO LEDUC","82",NA,"07","TORIELLO GUERRA","14050","1","CASA HOGAR PARA MADRES SOLTERAS AC","ESCLAVAS DE LA VIRGEN DOLOROSA AR","1","56061376",NA,"CASAHOGARMADRESOLTERAS@PRODIGY.NET","1",1,2,1,"2",1,1,1,"2",1,1,1,"1",2,"2","1","1","1","1","2","2","2","2","1994","1","1","1","1","3","5","4","3","14","23","7","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","2","1","8","8","0",NA,"8","0","62","5","2","3",10,63,-99.1523611111111,19.28566
"6",921898,"09","012","0001","0943","006","-99°10'18.35""","19°17'14.85""","1",NA,"5","05","CALVARIO","14",NA,"07","TLALPAN CENTRO","14000","1","ESPACIO PARA EL DESARROLLO DE LA MUJER","ESPACIO PARA EL DESARROLLO DE LA MUJER AC","1","55134055",NA,"No sabe","1",2,2,2,"2",2,2,2,"2",2,2,2,"2",2,"2","1","2","2","1","2","2","2","2","2011","1","2","2","2","1","5","4","3","10","10","0","2","1","1","2","2","2","2","2","1","2","1","1","1","2","2","2","2","2","1","2","1","4","0","0",NA,"5","0","10","0",NA,NA,2,4,-99.1689861111111,19.28468
"7",921949,"09","014","0001","0242","011","-99°09'43.17""","19°23'44.89""","1",NA,"5","14","2 PONIENTE (GABRIEL MANCERA)","231",NA,"07","COL DEL VALLE NTE","03100","2","SERVICIOS SOCIALES ESTUDIANTILES AC","SERVICIOS SOCIALES ESTUDIANTILES AC","1","56396556",NA,"LUPEPLOPEZ@YAHOO.COM.MX","1",2,2,2,"2",2,2,1,"2",2,2,2,"1",2,"1","1","2","2","2","2","2","2","2","1967","2","1","1","1","1","5","4","3","9","16","0","1","1","1","2","1","2","2","1","2","2","1","1","1","1","1","2","2","1","1","2","1","11","0","0",NA,"11","0","20","0",NA,NA,1,3,-99.1508805555556,19.38469
"8",922030,"09","016","0001","1160","025","-99°11'15.01""","19°24'18.24""","1",NA,"5","05","GOBERNADOR ANTONIO DIEZ DE BONILLA","23",NA,"07","SAN MIGUEL CHAPULTEPEC","11850","1","HOGAR PARA MADRES SOLTERAS","CENTRO DE REHABILITACIÓN SOCIAL PARA MAMÁS SOLTERAS AC","1","55165407",NA,"HOGAR_MAMASSOLTERAS@YAHOO.COM","1",1,1,1,"1",1,1,1,"1",1,1,1,"1",1,"1","1","1","1","2","1","2","2","2","1965","1","1","1","1","1","5","4","3","5","35","27","1","1","1","1","1","1","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","6","0","0",NA,"3","0","80","9","7","2",4,47,-99.184725,19.40229
"9",946475,"09","012","0027","2032","020","-99°08'43.41""","19°11'44.97""","1",NA,"5","05","TEXIMULCO","72",NA,"07","SAN MIGUEL TOPILEJO","14500","1","FUNDACIÓN ESTANCIA SAGRADO CORAZÓN DE JESÚS IAP","FUNDACIÓN ESTANCIA SAGRADO CORAZÓN DE JESÚS IAP","2","58480445",NA,"FUNDACION_SAGRADOCORAZON@HOTMAIL.COM","1",1,1,1,"1",1,1,1,"2",1,1,2,"1",1,"2","2","1","1","2","2","1","2","2","1990","1","1","1","1","1","5","4","3","6","77","0","1","1","1","2","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","2","1","12","6","0",NA,"18","6","77","4","4","0",28,76,-99.1342805555556,19.18471
"10",976725,"09","002","0001","0858","023","-99°09'49.18""","19°27'27.50""","1",NA,"5","05","AZALEA","7",NA,"07","TLATILCO","02860","2","FUNDACIÓN JÓVENES TLATILCO AC","FUNDACIÓN JÓVENES TLATILCO AC","1","53414514",NA,"JOVESTLATILCO@HOTMAIL.COM","1",1,1,1,"1",1,1,1,"1",1,1,1,"1",1,"2","2","1","1","2","2","1","1","2","2007","1","1","1","1","2","5","1","2","2","18","0","2","1","1","2","1","1","2","1","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","0",NA,"2","0","18","4","3","1",4,9,-99.15255,19.45208
